baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tb927.11.18720	1006.13245296693	-6.34802473995489	0.382263825640979	-16.6063967190998	6.26448619087449e-62	4.96711110074438e-58
Tb927.11.1090	455.227055873182	-7.5185583121276	0.594612050673099	-12.6444768544745	1.20020737431294e-36	4.75822213546363e-33
Tb927.6.2520	215.897815538983	-4.46332457098386	0.356680680292276	-12.5135024619962	6.29845580493501e-36	1.66468186924432e-32
Tb10.v4.0128	413.047866660926	-5.84835921843637	0.47821471481395	-12.2295676759166	2.16085614359848e-34	3.42668567251848e-31
Tb927.7.3730	153.03799991233	-5.20838021344801	0.425733014126659	-12.2339119603688	2.0483114695638e-34	3.42668567251848e-31
Tb927.2.5860	151.775846057012	-5.8408749686139	0.49797342293407	-11.7292905597237	9.02115892134308e-32	1.19214615145549e-28
Tb927.8.5110	309.945089638962	-4.16941785335947	0.367826098046252	-11.3352964227002	8.77345471960333e-30	9.93781749596211e-27
Tb927.3.5250	206.842426516704	-5.08881769356811	0.450433345789667	-11.2976042762704	1.34846581158911e-29	1.33649817751126e-26
Tb927.11.14220	379.152834786089	-5.93543691518291	0.533454634779049	-11.1264136221092	9.33148019174599e-29	8.22103404892822e-26
Tb927.11.10330	4240.12401941235	-4.18889137228754	0.377733846962335	-11.0895314411822	1.41024491389515e-28	1.11818319222746e-25
Tb927.11.1130	950.568337481211	-4.23917807890039	0.395039995352809	-10.7310098439891	7.27962458697252e-27	4.12286738215037e-24
Tb927.8.4200	332.385848372197	-4.11595870879045	0.390373771441692	-10.5436353820334	5.43562010333664e-26	2.87326878662375e-23
Tb10.v4.0218	243.04676572995	-4.34799109269314	0.416275772072087	-10.4449775470963	1.5449194294576e-25	7.65604134760582e-23
Tb927.11.6600	717.981573311353	-4.97147322704279	0.477551082653081	-10.4103485629711	2.22405825326874e-25	1.03732693471576e-22
Tb11.v5.1020	127.0847869863	-4.17642738703009	0.411652144050372	-10.1455256516751	3.46905739543913e-24	1.37530780442184e-21
Tb927.1.2780	165.254598462345	-4.69106668728296	0.468662216614856	-10.0094834210586	1.38473689727793e-23	5.22837088500796e-21
Tb927.6.2030	440.593568697667	-2.90183568444055	0.290734034839688	-9.98106632421152	1.84473501759309e-23	6.64859270658892e-21
Tb927.11.16790	160.289110920198	-6.48756361877836	0.650936514997891	-9.96650743859312	2.13608477654252e-23	7.36392008400244e-21
Tb927.11.8470	246.800621638526	-4.21139871294475	0.424762390277164	-9.9147165788307	3.59274671404509e-23	1.18695369565265e-20
Tb927.10.12060	165.32815065536	-5.02410409410936	0.5131489169652	-9.79073311471118	1.23397895075384e-22	3.91368764021089e-20
Tb927.1.2600	109.761804014832	-5.00221427616308	0.512698819629697	-9.75663310435549	1.72796779604901e-22	5.07446542773059e-20
Tb927.7.3580	125.802486610245	-3.94553836931882	0.406061544360927	-9.7166018898156	2.56188568782321e-22	7.0045488340518e-20
Tb927.10.9600	136.056867062603	-7.27236328965553	0.752624588059627	-9.66267034725071	4.34390545316828e-22	1.14809421127238e-19
Tb927.4.1910	217.721223304704	-7.05407711745683	0.731682709272283	-9.64089629024126	5.37168821966262e-22	1.37393922237758e-19
Tb927.11.14070	257.449198085753	-4.02358346065086	0.420938483698657	-9.55860206768662	1.19357969556827e-21	2.95746668942525e-19
Tb927.2.6200	107.279200804782	-4.44730212679693	0.476569706218476	-9.33190269705923	1.03987120475574e-20	2.3557539378595e-18
