baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tb927.1.3890	82.3044399134162	3.74580863531617	0.339190106909735	11.0433900016813	2.35959463026226e-28	1.70083871121358e-25
Tb11.v5.0806	117.318672612713	8.6015945714553	0.779586937674656	11.0335283414471	2.63327064837848e-28	1.73993358091608e-25
Tb11.v5.0653	427.837331685425	5.57355852239418	0.514047903794843	10.842488572074	2.16500312041369e-27	1.32048536475078e-24
Tb927.8.760	218.730770327445	3.20776955091071	0.311683902297851	10.2917395709622	7.67765905619053e-25	3.38200881425193e-22
Tb11.v5.0333	1293.12101279055	14.2676860739305	1.39465887734751	10.2302335758734	1.4516882058765e-24	6.05812409704989e-22
Tb927.6.4440	584.895393541904	2.19905360672983	0.225117804923379	9.76845704176218	1.5377608043332e-22	4.68957900675305e-20
Tb927.10.4570	529.485468642768	3.34268648186365	0.342792079787784	9.75135272650712	1.82026361296851e-22	5.15459649543833e-20
Tb11.v5.0678	721.428919916287	9.09578422601152	0.952433464884057	9.55004686560313	1.29637631251514e-21	3.11483872179775e-19
Tb927.10.7340	305.140615224113	3.12334571556724	0.32803221336085	9.52146035771011	1.70762251931136e-21	3.98227616341759e-19
Tb927.1.4410	147.882073794745	2.7894607437829	0.299694255102435	9.30768840673794	1.30644618009126e-20	2.87744771165099e-18
Tb927.6.4670	208.241518462624	2.99714119613872	0.323791075324344	9.25640459094329	2.11431958444532e-20	4.53092972569378e-18
Tb927.11.7705	46.1522508523347	6.50425855951264	0.706856928194821	9.20166203381962	3.52455351440469e-20	6.98654620392869e-18
Tb927.11.13180	235.76702728999	2.20234714985632	0.255832488466567	8.60855149030115	7.39895239152216e-18	1.10691119834678e-15
Tb927.10.9250	169.905650295577	2.22192408150711	0.259776378274149	8.5532183344332	1.19703167706219e-17	1.72568439407748e-15
Tb11.v5.0752	42.9092120795067	4.09012481195752	0.479139664280302	8.53639370078272	1.38475958202138e-17	1.9606712010442e-15
Tb927.10.3970	504.857601015244	2.84786907617532	0.335000378438321	8.50109211652627	1.87815254076669e-17	2.61260903434019e-15
Tb927.10.11860	106.475996967567	3.47424831935668	0.421595265633303	8.2407194827907	1.71178138654709e-16	2.15439914506855e-14
Tb927.9.8060	127.701980248277	2.68610903942215	0.33387714601208	8.04520186992663	8.61033704021201e-16	9.64959535223317e-14
Tb927.2.5200	96.6113022515743	2.4383817234551	0.303194169338842	8.0423107369523	8.81599883453726e-16	9.70861871653416e-14
Tb927.5.2010	100.581322442109	2.71765932421342	0.340208996146159	7.98820535317609	1.36917247516818e-15	1.4098920202089e-13
Tb927.10.10880	228.116941539781	2.17745380897516	0.274764802292004	7.92479164293065	2.28529191225672e-15	2.26474426693661e-13
Tb927.7.3250	13.6702329804189	6.36892200186813	0.803825709366269	7.92326237846926	2.31358665180811e-15	2.26474426693661e-13
Tb927.3.3310	75.3313532127399	3.68165539898987	0.467060820105115	7.88260380770386	3.20628447883073e-15	3.06296742562034e-13
Tb927.1.2420	77.4324578850053	4.29262559946213	0.546552771338776	7.85400024401557	4.02973499839337e-15	3.75903162379541e-13
Tb927.8.5790	95.6400369643628	2.55919313399685	0.331725910317474	7.714782157196	1.21189046557909e-14	1.07967185410973e-12
Tb927.10.12590	159.639644149555	2.57999541971309	0.334623516028122	7.71014377691334	1.25676072015307e-14	1.10720619445486e-12
Tb927.9.10570	306.700767412891	2.62900383505839	0.344519146531045	7.630936804325	2.33053909551669e-14	1.92487963420332e-12
Tb927.11.13400	107.319214011226	2.30809723897595	0.30554435565059	7.55404967001063	4.21929150279574e-14	3.34171712415878e-12
Tb927.11.4360	133.87885195144	2.52099657291582	0.333818206849566	7.55200441793727	4.28609944707282e-14	3.34171712415878e-12
Tb927.9.10770	1524.61570391344	2.92706799648918	0.387925906189189	7.54543058297753	4.50795581284279e-14	3.47025064466316e-12
Tb927.9.3480	44.4178240227925	3.06782368871306	0.406973575413071	7.53813975661508	4.7672281047032e-14	3.63455304251843e-12
Tb927.4.470	62.8240849662375	4.13003518251797	0.548326259182107	7.53207622899257	4.99397874449469e-14	3.77116737762842e-12
Tb927.9.4750	233.678694234981	3.07535767543098	0.415287602407642	7.40536837026077	1.30786909926523e-13	9.09657376146843e-12
Tb927.10.1090	411.421125285542	2.2130933795365	0.300121620497332	7.37398850462415	1.65597473938483e-13	1.14175858335498e-11
Tb927.6.3420	128.72987865407	2.46601560037947	0.336995039968256	7.3176614130931	2.52329539331051e-13	1.69552620114907e-11
Tb927.9.15110	239.13624832182	2.93978522673985	0.402302357421732	7.30740243626781	2.72355939187731e-13	1.79959186818293e-11
Tb11.v5.0381	37.6833622920369	4.73255588503986	0.654560776210981	7.23012446977795	4.82551556705296e-13	3.11069210822463e-11
