GeneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9		
ENSG00000142611	5	71	7	42	25	12	42	14	78		
ENSG00000284616	0	0	0	0	1	0	0	0	0		
ENSG00000157911	77	489	357	651	746	1024	1300	854	805		
ENSG00000260972	0	0	0	0	0	0	0	0	0		
ENSG00000224340	0	0	0	0	1	0	0	0	0		
ENSG00000229280	0	0	0	0	0	0	1	0	0		
ENSG00000142655	169	206	231	321	256	550	606	421	385		
ENSG00000232596	0	0	0	0	0	0	0	0	0		
ENSG00000231510	0	0	0	0	0	0	0	0	0		
ENSG00000149527	38	93	116	23	67	32	28	290	62		
ENSG00000171621	230	228	493	420	876	1080	1460	483	380		
ENSG00000272235	1	35	17	16	48	24	28	23	33		
ENSG00000284694	0	0	0	0	0	0	0	0	0		
ENSG00000224387	0	2	0	0	0	1	1	1	0		
ENSG00000142583	116	27	104	139	132	197	251	49	36		
ENSG00000284674	0	0	0	0	0	0	0	0	0		
ENSG00000224338	0	0	0	0	0	0	0	0	0		
ENSG00000287727	0	2	0	7	7	7	3	4	4		
ENSG00000173614	45	273	129	191	496	635	458	234	388		
ENSG00000215720	1	0	0	0	0	0	0	0	0		
ENSG00000241326	0	0	0	0	0	0	0	0	0		
ENSG00000233623	0	1	0	1	1	1	0	3	2		
ENSG00000204624	2	4	2	4	5	6	4	2	4		
ENSG00000142606	7	236	168	194	216	495	451	371	663		
ENSG00000225931	0	3	2	3	6	2	7	41	10		
ENSG00000171729	225	362	394	425	479	812	829	544	529		
ENSG00000229393	1	1	0	1	1	0	0	1	0		
ENSG00000287586	0	0	0	0	4	0	3	0	1		
ENSG00000227169	0	0	0	0	0	0	0	0	0		
ENSG00000283356	0	0	0	0	0	0	0	0	0		
ENSG00000157916	568	1743	1287	1781	3024	4349	4345	2432	2490		
ENSG00000157881	164	276	134	285	255	447	399	441	440		
ENSG00000225387	0	0	0	0	0	0	0	0	0		
ENSG00000048707	429	1013	683	793	2349	2460	2299	1640	1595		
ENSG00000225196	0	0	0	1	0	0	0	0	0		
ENSG00000162444	9	7	23	19	28	35	42	17	10		
ENSG00000279625	0	0	0	0	0	0	0	0	0		
