baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000012817	689.026063538828	8.23369381715996	0.56752824467225	14.5079895044077	1.0783509058693e-47	3.01183408009297e-43
ENSG00000067048	788.048902529765	9.27130734589052	0.704535861817903	13.1594541148947	1.50166873793081e-39	2.09708039252038e-35
ENSG00000291033	745.372836590703	9.39311175011378	0.797179902358245	11.7829259397117	4.78043181810418e-32	4.45058202265499e-28
ENSG00000183878	289.679837957773	8.14817048333543	0.734635770691681	11.0914426010916	1.38043416662664e-28	9.6388815684705e-25
ENSG00000114374	268.777286066997	8.34464442616707	0.826424318375224	10.0972880887301	5.67909570420544e-24	3.17234286036916e-20
ENSG00000129824	339.389850098924	9.19418837156426	0.987886613148587	9.30692677599971	1.31584544834022e-20	6.12526056202375e-17
ENSG00000293442	175.556986424722	6.18164525317396	0.667962347226547	9.2544816019059	2.15272470744801e-20	8.58937158271756e-17
ENSG00000198692	250.58069828016	9.85705541130213	1.07344448672641	9.18264105241466	4.20645589812681e-20	1.46857891543352e-16
ENSG00000179603	363.708748373354	4.1986688714734	0.463042656004517	9.06756389940982	1.21707594387206e-19	3.39929311123467e-16
ENSG00000067646	193.463734322668	8.31080481322245	0.921652233368418	9.01728929017885	1.92800770821188e-19	4.89538684457799e-16
ENSG00000288057	74.9306408070127	8.83808818553152	1.09646268635686	8.06054624156636	7.59542737132425e-16	1.63184835754682e-12
ENSG00000287568	45.0103360697323	5.13382283068928	0.696417613906929	7.37175902528992	1.68391196933628e-13	3.35940437882587e-10
ENSG00000231535	27.7323713507075	7.40790041709394	1.10988885774026	6.6744524602008	2.48156902965325e-11	4.62068153321434e-08
ENSG00000286187	36.4317274139795	7.80500096832999	1.22714286449914	6.36030342849739	2.01355588620621e-10	3.30815387657291e-07
ENSG00000154655	99.9661644240767	2.60055489838605	0.412554096237691	6.30354884874965	2.90906468730161e-10	4.513898706463e-07
ENSG00000250305	93.5738220216139	2.95549361783661	0.470914337672459	6.27607482168505	3.47227136743908e-10	4.84902696462867e-07
ENSG00000165246	46.5286811859206	6.69453353180491	1.07233333327146	6.24295946427525	4.29368205024816e-10	5.45102453015596e-07
ENSG00000183146	35.1571872837092	7.74400162438653	1.25174938253334	6.18654319502351	6.14978389897785e-10	7.15681101243547e-07
ENSG00000154620	24.308303877066	7.21104364400153	1.20068800308955	6.00575971896647	1.9043804811732e-09	2.04574410919875e-06
ENSG00000286009	14.6450709894542	6.48506973439367	1.08500016475116	5.97702188909899	2.27253673910977e-09	2.350813004568e-06
ENSG00000188373	699.060271458663	3.03992102103798	0.524477733522838	5.7960916674561	6.78781713628215e-09	6.31945775387868e-06
ENSG00000289707	20.5231345985092	6.97995174577454	1.21904989841808	5.72573096050636	1.02989325579793e-08	8.71664201043523e-06
ENSG00000233070	16.3615409680398	6.65033709490285	1.17169851886532	5.6758090821375	1.38034662319129e-08	1.07091892182591e-05
ENSG00000302309	28.0569465369895	3.22663879083811	0.571519462161785	5.6457198826323	1.64491485423748e-08	1.20901241786455e-05
ENSG00000291034	16.9451803242822	6.69052541980129	1.18782306582583	5.63259429143157	1.77518730071858e-08	1.27130721305308e-05
ENSG00000135220	453.489365758585	3.92107784972633	0.698324530103995	5.61497939810649	1.96585666164847e-08	1.33580669028293e-05
ENSG00000244649	740.544707646938	1.19869014888132	0.213375447189641	5.61775107993548	1.93458931817318e-08	1.33580669028293e-05
ENSG00000260197	11.8741329934957	6.17142285091387	1.12059716947717	5.50726257303795	3.64456458171337e-08	2.26205975038343e-05
ENSG00000250266	27.4258419585866	5.97997108261117	1.09600564882912	5.45614987386209	4.86569285259025e-08	2.74902962615283e-05
ENSG00000176728	16.9753618378544	6.69744593157424	1.22704184740505	5.45820498766036	4.80972189602657e-08	2.74902962615283e-05
ENSG00000162779	46.0081557328574	3.79389345073328	0.698508735868608	5.43141875815699	5.59077674500341e-08	3.06177244094011e-05
